"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1194",594835,"Marco Gonzales","3265","36.6","0.311","0.201","0.350","0.512","0.391","0.387","0.303","65","209","83.4","23.2","2245","90.6","90.31","87","460","731","-0.3","6.17","107","152","111","147","295","319","289"
"1153",491646,"Jeanmar Gomez","1966","58.6","0.325","0.173","0.354","0.498","0.381","0.384","0.306","90","277","85.3","10.2","2005","91.6","92.21","64","477","668","0.6","6.83","109","148","110","147","294","319","292"
"1146",493247,"Peter Moylan","2086","54.9","0.274","0.117","0.282","0.391","0.336","0.360","0.292","75","274","83.5","0.5","2073","90.2","88.33","60","522","613","-1.9","5.39","110","150","109","143","296","318","295"
"1126",594840,"Matt Grace","1638","68.7","0.264","0.097","0.284","0.361","0.293","0.311","0.258","76","288","82.6","6.3","1774","91.0","90.30","61","528","588","-0.7","5.90","109","149","112","146","295","309","293"
"1123",543734,"Chris Rusin","3339","33.6","0.260","0.100","0.276","0.360","0.307","0.332","0.279","75","289","84.4","3.7","2252","90.4","89.01","54","529","583","-1.4","5.33","110","150","112","145","298","320","300"
"1118",571901,"Aaron Loup","1983","56.4","0.281","0.099","0.350","0.380","0.333","0.297","0.232","68","242","79.3","8.4","2187","92.0","90.74","98","510","596","-1.3","5.88","107","150","112","145","295","320","293"
"1115",592866,"Trevor Williams","5370","20.8","0.260","0.102","0.283","0.361","0.299","0.321","0.270","74","285","83.3","5.9","1871","89.6","90.49","86","546","555","0.9","6.74","109","151","112","149","301","318","297"
"1113",628452,"Raisel Iglesias","3624","30.7","0.251","0.151","0.273","0.402","0.313","0.347","0.283","65","259","84.3","15.2","2317","94.1","93.57","105","506","601","-0.5","6.08","113","148","110","147","295","308","291"
"1102",596001,"Jakob Junis","4363","25.3","0.323","0.182","0.314","0.505","0.371","0.379","0.315","92","285","86.9","13.7","1969","90.8","90.43","67","536","558","-0.4","5.99","114","154","109","146","299","319","300"
"1094",502154,"Zach Britton","2271","48.2","0.237","0.083","0.280","0.320","0.300","0.314","0.244","57","241","84.0","-5.5","2063","95.4","94.45","138","471","617","-1.0","5.64","106","150","110","145","294","319","288"
"1059",641838,"Kevin McCarthy","1892","56.0","0.283","0.119","0.300","0.402","0.322","0.322","0.266","81","286","84.4","3.3","2094","92.2","93.13","68","526","525","0.9","6.69","110","151","110","143","298","319","297"
"983",542947,"Richard Bleier","1715","57.3","0.282","0.075","0.295","0.357","0.295","0.294","0.266","75","266","83.4","-3.0","1880","88.9","88.62","71","525","449","-0.3","6.18","108","153","114","146","295","320","294"
"963",434671,"Anibal Sanchez","6563","14.7","0.273","0.183","0.308","0.457","0.336","0.331","0.258","79","289","84.9","19.4","2194","91.2","91.15","60","456","504","-0.1","6.29","108","151","111","146","300","324","293"
"950",501925,"Joe Smith","2303","41.3","0.272","0.157","0.291","0.429","0.329","0.345","0.281","69","254","83.7","-0.7","1973","88.5","88.64","89","516","428","0.1","6.61","109","151","111","147","297","319","292"
"938",452657,"Jon Lester","9417","10.0","0.333","0.151","0.342","0.484","0.373","0.329","0.284","73","219","84.2","4.7","2048","90.9","91.07","65","414","522","0.2","6.45","109","150","107","148","294","317","292"
"934",444857,"Scott Feldman","3225","29.0","0.274","0.247","0.292","0.520","0.363","0.346","0.267","61","223","82.8","13.3","2126","90.1","89.81","50","390","533","-0.3","6.29","110","149","111","147","292","309","282"
"933",663855,"Jordan Hicks","1274","73.2","0.244","0.065","0.276","0.308","0.316","0.328","0.251","49","201","85.1","3.7","2080","100.4","100.65","67","391","534","0.3","6.41","111","145","104","147","296","314","298"
"928",621366,"Ryan Borucki","1582","58.7","0.282","0.141","0.294","0.423","0.330","0.357","0.303","60","213","84.6","11.5","2220","91.5","91.32","36","394","529","-0.2","6.29","107","152","111","144","293","315","287"
